key,supplier,sku,name,brand,product_type,variant,weight_g,volume_ml,units_in_name,category_norm,price_unit,price_bulk,stock,scraped_at
PUREZA|HARINA|W1000,santamaria,32555,Harina PUREZA Leudante * 1 K,Pureza,Harina,Leudante,1000.0,,,Comestibles / Harinas de Trigo,1064.66,1176.45,uxb:10,2026-03-10
PUREZA|HARINA|W1000,santamaria,32588,Harina PUREZA Multicereal C/Lev.MM* 1 K,Pureza,Harina,Multicereal C/lev. Mm,1000.0,,,Comestibles / Harinas de Trigo,1914.03,2115.00,uxb:10,2026-03-10
PUREZA|HARINA|W1000,santamaria,32518,Harina PUREZA P/Pizza * 1 K,Pureza,Harina,P/pizza,1000.0,,,Comestibles / Harinas de Trigo,1256.48,1388.41,uxb:10,2026-03-10
PUREZA|HARINA|W1000,vital,7792180004871,Harina Pureza 0000 ultra refinada 1 kg,Pureza,Harina,0000 Ultra Refinada,1000.0,,,Almacen,998.89,9988.90,disponible,2026-03-10
PUREZA|HARINA|W1000,vital,7792180004901,Harina Pureza con levadura para pan casero 1 kg,Pureza,Harina,Con Levadura para Pan Casero,1000.0,,,Almacen,1449.00,14490.00,disponible,2026-03-10
PUREZA|HARINA|W1000,vital,7792180004567,Harina Pureza con levadura para pizza 1 kg,Pureza,Harina,Con Levadura para Pizza,1000.0,,,Almacen,1449.00,14490.00,disponible,2026-03-10
PUREZA|HARINA|W1000,vital,7792180134516,Harina Pureza integral 1 kg,Pureza,Harina,Integral,1000.0,,,Almacen,1299.00,12990.00,disponible,2026-03-10
PUREZA|HARINA|W1000,vital,7792180137258,Harina Pureza integral con levadura para pizza 1 kg,Pureza,Harina,Integral con Levadura para Pizza,1000.0,,,Almacen,1649.00,16490.00,disponible,2026-03-10
PUREZA|HARINA|W1000,vital,7792180136671,Harina Pureza integral leudante 1 kg,Pureza,Harina,Integral Leudante,1000.0,,,Almacen,1889.00,18890.00,disponible,2026-03-10
PUREZA|HARINA|W1000,vital,7792180140708,Harina Pureza leudante vitamina D 1 kg,Pureza,Harina,Leudante Vitamina D,1000.0,,,Almacen,1285.00,12850.00,disponible,2026-03-10
